"Range" "Sequential" "Async (Batch Size 16)" "Async (Batch Size 2)" "Async (Batch Size 32)" "Async (Batch Size 4)" "Async (Batch Size 8)" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" 
4800    0.0389653907    0.1220915441    0.0549010679    0.1413889860    0.0424529907    0.1177979469    0.0018419631    0.0019468817    0.0025526889    0.0180282017    0.0187536312    0.0211752397    0.0010437122    0.0011354436    0.0013007168    0.0069136016    0.0071540208    0.0072764513    0.0074764437 
4900    0.0404800162    0.1250133465    0.0563509819    0.1443137133    0.0431881675    0.1208644450    0.0018803979    0.0019474296    0.0028131574    0.0184097290    0.0191588708    0.0216202207    0.0010798070    0.0011686087    0.0013412252    0.0072038724    0.0074960039    0.0072971597    0.0077505403 
5000    0.0422542254    0.1279529984    0.0578664990    0.1471237973    0.0445575202    0.1235782036    0.0018755657    0.0020912814    0.0030696097    0.0183569460    0.0191471760    0.0215396708    0.0010889850    0.0011789136    0.0013473918    0.0075989088    0.0079275606    0.0080549914    0.0077355443 
5100    0.0438144568    0.1298976510    0.0595041978    0.1506649456    0.0455653917    0.1251617489    0.0017737205    0.0020171020    0.0029076355    0.0175343159    0.0181755321    0.0208506722    0.0010464615    0.0011344549    0.0012976184    0.0080280503    0.0081464455    0.0089637043    0.0087227490 
5200    0.0457606555    0.1329648055    0.0611643728    0.1534130231    0.0467392270    0.1276822572    0.0018252418    0.0020078477    0.0028914234    0.0178718848    0.0184813187    0.0207817298    0.0010778393    0.0011602246    0.0013255862    0.0081300125    0.0083489960    0.0087182554    0.0086546010 
5300    0.0473975793    0.1357505715    0.0627209510    0.1563225990    0.0480265497    0.1302200722    0.0018521430    0.0020263354    0.0028905244    0.0181294121    0.0188183013    0.0212347266    0.0011252849    0.0012001356    0.0013828301    0.0084914296    0.0086309186    0.0088889040    0.0086534970 
5400    0.0488344551    0.1384771556    0.0640040402    0.1593080487    0.0491937064    0.1325287004    0.0018928132    0.0020271332    0.0028898677    0.0185015229    0.0191883905    0.0217060865    0.0011558385    0.0012408437    0.0014039428    0.0087514406    0.0089913139    0.0087254523    0.0090057755 
5500    0.0509471745    0.1408345159    0.0657375481    0.1622157893    0.0500496504    0.1353729463    0.0019371165    0.0020289526    0.0028903237    0.0188781100    0.0196158653    0.0220933434    0.0011861635    0.0012788281    0.0014466863    0.0091584940    0.0092366811    0.0098010068    0.0097362495 
5600    0.0526669380    0.1445545902    0.0678874439    0.1650279852    0.0515230926    0.1382460170    0.0020598884    0.0022810480    0.0028886526    0.0192055793    0.0198791892    0.0224554261    0.0012266804    0.0013183812    0.0014906556    0.0094569354    0.0095475380    0.0095307875    0.0098791967 
5700    0.0546775032    0.1469262861    0.0691088088    0.1682784646    0.0524624002    0.1418748173    0.0020149932    0.0022995644    0.0029043206    0.0195342972    0.0202325978    0.0229027285    0.0012602079    0.0013520460    0.0015264065    0.0097353797    0.0098324681    0.0104943181    0.0103731432 
5800    0.0566127580    0.1495091760    0.0708454698    0.1714192262    0.0538217039    0.1446822070    0.0020748055    0.0022951434    0.0028890411    0.0199223849    0.0206934763    0.0232892270    0.0013010803    0.0013932748    0.0015692965    0.0101613481    0.0104103610    0.0106665344    0.0103528418 
5900    0.0588277893    0.1518256221    0.0728268407    0.1742401281    0.0553424276    0.1449565768    0.0020909127    0.0022952830    0.0030263046    0.0203046954    0.0210484553    0.0237576520    0.0013412481    0.0014332314    0.0016153882    0.0105003113    0.0105675902    0.0110981875    0.0109426855 
6000    0.0605191050    0.1550746842    0.0744998456    0.1776605407    0.0570290824    0.1476975412    0.0021583195    0.0022789535    0.0030783327    0.0206680608    0.0213117203    0.0241457221    0.0013836357    0.0014758498    0.0016582674    0.0108272812    0.0109990382    0.0109233076    0.0113173673 
